year,institution,degree
2009,Cornell University,Ph.D. in Developmental Psychology
2007-2008,Yale University,Exchange Scholar in Department of Psychology and Child Study Center
2003,Harvard University,M.Ed. in Human Development and Psychology
2002,B.A. in Psychology and English Language and Literature (double major), Korea University
