year,month,source,title,url
2010,March,IEEE Computing,Screen-Capture Programming: What You See is What You Script,http://www.computer.org/portal/web/computingnow/archive/news054
2010,January,MIT Press,Picture-driven Computing,http://web.mit.edu/newsoffice/2010/screen-shots-0120.html
2010,January,Slashdot,MIT Offers Picture-Centric Programming To the Masses With Sikuli,http://developers.slashdot.org/story/10/01/21/215212/mit-offers-picture-centric-programming-to-the-masses-with-sikuli
